2026-05-17 14:45:16 INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-17 14:45:16 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:45:16 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:45:17 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 30 ms. Found 0 Redis repository interfaces.
2026-05-17 14:45:18 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:45:18 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:45:18 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:45:18 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:45:18 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:45:18 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 2352 ms
2026-05-17 14:45:19 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:45:19 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:45:19 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:45:19 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 3.43 seconds (JVM running for 4.002)
2026-05-17 14:45:47 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-17 14:45:47 INFO  [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2026-05-17 14:45:47 INFO  [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2026-05-17 14:45:47 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2026-05-17 14:45:47 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2026-05-17 14:47:51 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2026-05-17 14:47:51 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2026-05-17 14:47:51 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:47:51 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:47:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:47:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:47:51 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2026-05-17 14:47:52 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:47:52 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:47:52 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:47:52 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:47:52 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:47:52 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 791 ms
2026-05-17 14:47:52 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:47:52 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:47:52 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
